PassengerId,Age,SibSp,Parch,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Survived
1,22,1,0,0.0,1.0,0.0,0.0,1.0,0
2,38,1,0,1.0,0.0,1.0,0.0,0.0,1
3,26,0,0,1.0,0.0,0.0,0.0,1.0,1
4,35,1,0,1.0,0.0,1.0,0.0,0.0,1
5,35,0,0,0.0,1.0,0.0,0.0,1.0,0
6,44,0,0,0.0,1.0,0.0,0.0,1.0,0
7,54,0,0,0.0,1.0,1.0,0.0,0.0,0
8,2,3,1,0.0,1.0,0.0,0.0,1.0,0
9,27,0,2,1.0,0.0,0.0,0.0,1.0,1
10,14,1,0,1.0,0.0,0.0,1.0,0.0,1
11,4,1,1,1.0,0.0,0.0,0.0,1.0,1
12,58,0,0,1.0,0.0,1.0,0.0,0.0,1
13,20,0,0,0.0,1.0,0.0,0.0,1.0,0
14,39,1,5,0.0,1.0,0.0,0.0,1.0,0
15,14,0,0,1.0,0.0,0.0,0.0,1.0,0
16,55,0,0,1.0,0.0,0.0,1.0,0.0,1
17,2,4,1,0.0,1.0,0.0,0.0,1.0,0
18,16,0,0,0.0,1.0,0.0,1.0,0.0,1
19,31,1,0,1.0,0.0,0.0,0.0,1.0,0
20,33,0,0,1.0,0.0,0.0,0.0,1.0,1
21,35,0,0,0.0,1.0,0.0,1.0,0.0,0
22,34,0,0,0.0,1.0,0.0,1.0,0.0,1
23,15,0,0,1.0,0.0,0.0,0.0,1.0,1
24,28,0,0,0.0,1.0,1.0,0.0,0.0,1
25,8,3,1,1.0,0.0,0.0,0.0,1.0,0
26,38,1,5,1.0,0.0,0.0,0.0,1.0,1
27,28,0,0,0.0,1.0,0.0,0.0,1.0,0
28,19,3,2,0.0,1.0,1.0,0.0,0.0,0
29,26,0,0,1.0,0.0,0.0,0.0,1.0,1
30,33,0,0,0.0,1.0,0.0,0.0,1.0,0
31,40,0,0,0.0,1.0,1.0,0.0,0.0,0
32,48,1,0,1.0,0.0,1.0,0.0,0.0,1
33,57,0,0,1.0,0.0,0.0,0.0,1.0,1
34,66,0,0,0.0,1.0,0.0,1.0,0.0,0
35,28,1,0,0.0,1.0,1.0,0.0,0.0,0
36,42,1,0,0.0,1.0,1.0,0.0,0.0,0
37,31,0,0,0.0,1.0,0.0,0.0,1.0,1
38,21,0,0,0.0,1.0,0.0,0.0,1.0,0
39,18,2,0,1.0,0.0,0.0,0.0,1.0,0
40,14,1,0,1.0,0.0,0.0,0.0,1.0,1
41,40,1,0,1.0,0.0,0.0,0.0,1.0,0
42,27,1,0,1.0,0.0,0.0,1.0,0.0,0
43,15,0,0,0.0,1.0,0.0,0.0,1.0,0
44,3,1,2,1.0,0.0,0.0,1.0,0.0,1
45,19,0,0,1.0,0.0,0.0,0.0,1.0,1
46,18,0,0,0.0,1.0,0.0,0.0,1.0,0
47,18,1,0,0.0,1.0,0.0,0.0,1.0,0
48,18,0,0,1.0,0.0,0.0,0.0,1.0,1
49,18,2,0,0.0,1.0,0.0,0.0,1.0,0
50,18,1,0,1.0,0.0,0.0,0.0,1.0,0
51,7,4,1,0.0,1.0,0.0,0.0,1.0,0
52,21,0,0,0.0,1.0,0.0,0.0,1.0,0
53,49,1,0,1.0,0.0,1.0,0.0,0.0,1
54,29,1,0,1.0,0.0,0.0,1.0,0.0,1
55,65,0,1,0.0,1.0,1.0,0.0,0.0,0
56,43,0,0,0.0,1.0,1.0,0.0,0.0,1
57,21,0,0,1.0,0.0,0.0,1.0,0.0,1
58,28,0,0,0.0,1.0,0.0,0.0,1.0,0
59,5,1,2,1.0,0.0,0.0,1.0,0.0,1
60,11,5,2,0.0,1.0,0.0,0.0,1.0,0
61,22,0,0,0.0,1.0,0.0,0.0,1.0,0
62,38,0,0,1.0,0.0,1.0,0.0,0.0,1
63,45,1,0,0.0,1.0,1.0,0.0,0.0,0
64,4,3,2,0.0,1.0,0.0,0.0,1.0,0
65,12,0,0,0.0,1.0,1.0,0.0,0.0,0
66,20,1,1,0.0,1.0,0.0,0.0,1.0,1
67,29,0,0,1.0,0.0,0.0,1.0,0.0,1
68,19,0,0,0.0,1.0,0.0,0.0,1.0,0
69,17,4,2,1.0,0.0,0.0,0.0,1.0,1
70,26,2,0,0.0,1.0,0.0,0.0,1.0,0
71,32,0,0,0.0,1.0,0.0,1.0,0.0,0
72,16,5,2,1.0,0.0,0.0,0.0,1.0,0
73,21,0,0,0.0,1.0,0.0,1.0,0.0,0
74,26,1,0,0.0,1.0,0.0,0.0,1.0,0
75,32,0,0,0.0,1.0,0.0,0.0,1.0,1
76,25,0,0,0.0,1.0,0.0,0.0,1.0,0
77,16,0,0,0.0,1.0,0.0,0.0,1.0,0
78,8,0,0,0.0,1.0,0.0,0.0,1.0,0
79,0,0,2,0.0,1.0,0.0,1.0,0.0,1
80,30,0,0,1.0,0.0,0.0,0.0,1.0,1
81,22,0,0,0.0,1.0,0.0,0.0,1.0,0
82,29,0,0,0.0,1.0,0.0,0.0,1.0,1
83,28,0,0,1.0,0.0,0.0,0.0,1.0,1
84,28,0,0,0.0,1.0,1.0,0.0,0.0,0
85,17,0,0,1.0,0.0,0.0,1.0,0.0,1
86,33,3,0,1.0,0.0,0.0,0.0,1.0,1
87,16,1,3,0.0,1.0,0.0,0.0,1.0,0
88,19,0,0,0.0,1.0,0.0,0.0,1.0,0
89,23,3,2,1.0,0.0,1.0,0.0,0.0,1
90,24,0,0,0.0,1.0,0.0,0.0,1.0,0
91,29,0,0,0.0,1.0,0.0,0.0,1.0,0
92,20,0,0,0.0,1.0,0.0,0.0,1.0,0
93,46,1,0,0.0,1.0,1.0,0.0,0.0,0
94,26,1,2,0.0,1.0,0.0,0.0,1.0,0
95,59,0,0,0.0,1.0,0.0,0.0,1.0,0
96,65,0,0,0.0,1.0,0.0,0.0,1.0,0
97,71,0,0,0.0,1.0,1.0,0.0,0.0,0
98,23,0,1,0.0,1.0,1.0,0.0,0.0,1
99,34,0,1,1.0,0.0,0.0,1.0,0.0,1
100,34,1,0,0.0,1.0,0.0,1.0,0.0,0
101,28,0,0,1.0,0.0,0.0,0.0,1.0,0
102,24,0,0,0.0,1.0,0.0,0.0,1.0,0
103,21,0,1,0.0,1.0,1.0,0.0,0.0,0
104,33,0,0,0.0,1.0,0.0,0.0,1.0,0
105,37,2,0,0.0,1.0,0.0,0.0,1.0,0
106,28,0,0,0.0,1.0,0.0,0.0,1.0,0
107,21,0,0,1.0,0.0,0.0,0.0,1.0,1
108,29,0,0,0.0,1.0,0.0,0.0,1.0,1
109,38,0,0,0.0,1.0,0.0,0.0,1.0,0
110,42,1,0,1.0,0.0,0.0,0.0,1.0,1
111,47,0,0,0.0,1.0,1.0,0.0,0.0,0
112,14,1,0,1.0,0.0,0.0,0.0,1.0,0
113,22,0,0,0.0,1.0,0.0,0.0,1.0,0
114,20,1,0,1.0,0.0,0.0,0.0,1.0,0
115,17,0,0,1.0,0.0,0.0,0.0,1.0,0
116,21,0,0,0.0,1.0,0.0,0.0,1.0,0
117,70,0,0,0.0,1.0,0.0,0.0,1.0,0
118,29,1,0,0.0,1.0,0.0,1.0,0.0,0
119,24,0,1,0.0,1.0,1.0,0.0,0.0,0
120,2,4,2,1.0,0.0,0.0,0.0,1.0,0
121,21,2,0,0.0,1.0,0.0,1.0,0.0,0
122,26,0,0,0.0,1.0,0.0,0.0,1.0,0
123,32,1,0,0.0,1.0,0.0,1.0,0.0,0
124,32,0,0,1.0,0.0,0.0,1.0,0.0,1
125,54,0,1,0.0,1.0,1.0,0.0,0.0,0
126,12,1,0,0.0,1.0,0.0,0.0,1.0,1
127,18,0,0,0.0,1.0,0.0,0.0,1.0,0
128,24,0,0,0.0,1.0,0.0,0.0,1.0,1
129,34,1,1,1.0,0.0,0.0,0.0,1.0,1
130,45,0,0,0.0,1.0,0.0,0.0,1.0,0
131,33,0,0,0.0,1.0,0.0,0.0,1.0,0
132,20,0,0,0.0,1.0,0.0,0.0,1.0,0
133,47,1,0,1.0,0.0,0.0,0.0,1.0,0
134,29,1,0,1.0,0.0,0.0,1.0,0.0,1
135,25,0,0,0.0,1.0,0.0,1.0,0.0,0
136,23,0,0,0.0,1.0,0.0,1.0,0.0,0
137,19,0,2,1.0,0.0,1.0,0.0,0.0,1
138,37,1,0,0.0,1.0,1.0,0.0,0.0,0
139,16,0,0,0.0,1.0,0.0,0.0,1.0,0
140,24,0,0,0.0,1.0,1.0,0.0,0.0,0
